#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
23626;1284624000;989;1.2991;1.2995;1.2982;1.2986;-0.04966887;1.3252848
23625;1284627600;989;1.2986;1.3013;1.2979;1.3001;-0.05284209;1.3252848
23624;1284631200;989;1.3001;1.3034;1.2998;1.3014;-0.05378823;1.3252848
23623;1284634800;989;1.3015;1.3068;1.301;1.3055;-0.04542321;1.3252848
23622;1284638400;989;1.3055;1.3082;1.3054;1.308;-0.0411315;1.3252848
23621;1284642000;989;1.308;1.3108;1.3074;1.3096;-0.03619426;1.3252848
23620;1284645600;989;1.3096;1.3096;1.3077;1.3083;-0.0409692;1.3252848
23619;1284649200;989;1.3083;1.3096;1.3048;1.3064;-0.04676975;1.3252848
23618;1284652800;989;1.3063;1.3091;1.3052;1.3065;-0.04661309;1.3252848
23617;1284656400;989;1.3065;1.3115;1.3059;1.31;-0.03442748;1.3252848
23616;1284660000;989;1.3101;1.3101;1.3063;1.3078;-0.0376969;1.3252848
23615;1284663600;989;1.3077;1.3079;1.3067;1.3074;-0.03847331;1.3252848
23614;1284667200;989;1.3073;1.3076;1.3069;1.3076;-0.03946161;1.3252848
23613;1284670800;989;1.3077;1.3087;1.3077;1.3079;-0.03547672;1.3252848
23612;1284674400;989;1.3078;1.3084;1.3077;1.3077;-0.0371339;1.3252848
23611;1284678000;989;1.3077;1.3088;1.3072;1.3076;-0.04115938;1.3252848
23610;1284681600;988;1.3076;1.3078;1.3072;1.3073;-0.04181902;1.3244711
23609;1284685200;988;1.3073;1.3078;1.3073;1.3073;-0.04341773;1.3244711
23608;1284688800;988;1.3073;1.3075;1.3064;1.3065;-0.04414083;1.3244711
23607;1284692400;988;1.3065;1.3072;1.306;1.3062;-0.04369162;1.3244711
23606;1284696000;988;1.3062;1.3079;1.3062;1.3077;-0.04163799;1.3244711
23605;1284699600;988;1.3078;1.3095;1.3076;1.3088;-0.03909688;1.3244711
23604;1284703200;988;1.3088;1.3108;1.3088;1.3102;-0.03664326;1.3244711
23603;1284706800;988;1.3102;1.3131;1.3097;1.3121;-0.03289383;1.3244711
23602;1284710400;988;1.3122;1.3144;1.3122;1.3135;-0.03014085;1.3244711
23601;1284714000;988;1.3135;1.3144;1.3115;1.3132;-0.03951416;1.3244711
23600;1284717600;988;1.3132;1.3158;1.3126;1.3147;-0.03805431;1.3244711
23599;1284721200;988;1.3148;1.3156;1.3132;1.3148;-0.03939763;1.3244711
23598;1284724800;988;1.3149;1.3153;1.3131;1.3131;-0.04298226;1.3244711
23597;1284728400;988;1.313;1.313;1.3077;1.3092;-0.05484265;1.3244711
23596;1284732000;988;1.3092;1.3102;1.3057;1.3062;-0.06378809;1.3244711
23595;1284735600;988;1.3061;1.3086;1.3045;1.3061;-0.06460455;1.3244711
23594;1284739200;988;1.306;1.3094;1.3038;1.3074;-0.06000459;1.3244711
23593;1284742800;988;1.3075;1.3075;1.3018;1.3046;-0.06710103;1.3244711
